id,spanish,english,level,partOfSpeech,imageQuery
9001,"Hola, ¿cómo estás?","Hello, how are you?",A1,phrase,"friends greeting wave"
9002,"Buenos días, señor.","Good morning, sir.",A1,phrase,"sunrise morning greeting"
9003,"Buenas tardes a todos.","Good afternoon everyone.",A1,phrase,"afternoon friends meeting"
9004,"Buenas noches, hasta mañana.","Good night, see you tomorrow.",A1,phrase,"starry night bed"
9005,"Me llamo Juan.","My name is Juan.",A1,phrase,"person introducing name"
9006,"¿Cómo te llamas?","What is your name?",A1,phrase,"two people meeting handshake"
9007,"Mucho gusto en conocerte.","Nice to meet you.",A1,phrase,"happy handshake meeting"
9008,"El gusto es mío.","The pleasure is mine.",A1,phrase,"polite smile handshake"
9009,"¿De dónde eres?","Where are you from?",A1,phrase,"world map travel flag"
9010,"Soy de España.","I am from Spain.",A1,phrase,"spanish flag madrid"
9011,"¿Dónde vives?","Where do you live?",A1,phrase,"cozy neighborhood house"
9012,"Vivo en Madrid.","I live in Madrid.",A1,phrase,"city street building"
9013,"Tengo veinte años.","I am twenty years old.",A1,phrase,"birthday cake candles"
9014,"¿Cuántos años tienes?","How old are you?",A1,phrase,"celebrating birthday party"
9015,"Por favor, siéntate.","Please, sit down.",A1,phrase,"chair sitting down"
9016,"Muchas gracias por todo.","Thank you very much for everything.",A1,phrase,"thank you note flower"
9017,"De nada, es un placer.","You are welcome, it is a pleasure.",A1,phrase,"friendly smiling wave"
9018,"Disculpe, ¿dónde está el baño?","Excuse me, where is the bathroom?",A1,phrase,"bathroom sign door"
9019,"No entiendo español muy bien.","I do not understand Spanish very well.",A1,phrase,"confused student book"
9020,"¿Puedes repetir, por favor?","Can you repeat, please?",A1,phrase,"listening ear gesture"
9021,"¿Hablas inglés?","Do you speak English?",A1,phrase,"speech bubbles languages"
9022,"Hablo un poco de español.","I speak a little Spanish.",A1,phrase,"person talking happy"
9023,"¿Qué hora es?","What time is it?",A1,phrase,"wrist watch clock time"
9024,"Son las tres de la tarde.","It is three in the afternoon.",A1,phrase,"clock showing three"
9025,"Hoy es lunes.","Today is Monday.",A1,phrase,"calendar page monday"
9026,"Mañana es mi cumpleaños.","Tomorrow is my birthday.",A1,phrase,"birthday present gift"
9027,"Ayer fue un día soleado.","Yesterday was a sunny day.",A1,phrase,"bright sun blue sky"
9028,"Me gustaría un café con leche.","I would like a coffee with milk.",A1,phrase,"latte coffee mug"
9029,"La cuenta, por favor.","The bill, please.",A1,phrase,"restaurant check receipt"
9030,"¿Cuánto cuesta este libro?","How much does this book cost?",A1,phrase,"price tag bookstore"
9031,"Es muy barato.","It is very cheap.",A1,phrase,"cheap price discount tag"
9032,"Es demasiado caro.","It is too expensive.",A1,phrase,"expensive luxury price"
9033,"Quiero comprar una manzana.","I want to buy an apple.",A1,phrase,"red fresh apple"
